book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
gotobi,USDJPY,2018-01-05 02:55:00,2018-01-05 08:00:00,SELL,112.7964,113.00429,0.31687,signal
gotobi,USDJPY,2018-01-10 02:55:00,2018-01-10 08:00:00,SELL,112.45193,112.36157,0.31259,signal
gotobi,USDJPY,2018-01-15 02:55:00,2018-01-15 08:00:00,SELL,110.86778,110.70786,0.37245,signal
gotobi,USDJPY,2018-01-19 02:55:00,2018-01-19 08:00:00,SELL,111.06198,110.87513,0.40451,signal
gotobi,USDJPY,2018-01-25 02:55:00,2018-01-25 08:00:00,SELL,109.45475,108.92995,0.46022,signal
gotobi,USDJPY,2018-01-31 02:55:00,2018-01-31 08:00:00,SELL,108.80624,108.69328,0.48886,signal
gotobi,USDJPY,2018-02-05 02:55:00,2018-02-05 08:00:00,SELL,109.86153,109.96372,0.4906,signal
gotobi,USDJPY,2018-02-09 02:55:00,2018-02-09 08:00:00,SELL,108.82871,108.99442,0.52759,signal
gotobi,USDJPY,2018-02-15 02:55:00,2018-02-15 08:00:00,SELL,106.79931,106.55896,0.52903,signal
gotobi,USDJPY,2018-02-20 02:55:00,2018-02-20 08:00:00,SELL,106.77185,106.83466,0.51099,signal
gotobi,USDJPY,2018-02-23 02:55:00,2018-02-23 08:00:00,SELL,106.94286,106.96682,0.50768,signal
gotobi,USDJPY,2018-02-28 02:55:00,2018-02-28 08:00:00,SELL,107.32218,107.06861,0.47231,signal
gotobi,USDJPY,2018-03-05 02:55:00,2018-03-05 08:00:00,SELL,105.54164,105.5694,0.47686,signal
gotobi,USDJPY,2018-03-09 02:55:00,2018-03-09 08:00:00,SELL,106.6919,106.64047,0.41757,signal
gotobi,USDJPY,2018-03-15 03:55:00,2018-03-15 09:00:00,SELL,106.00711,105.92675,0.41791,signal
gotobi,USDJPY,2018-03-20 03:55:00,2018-03-20 09:00:00,SELL,106.10114,106.29773,0.40514,signal
gotobi,USDJPY,2018-03-23 03:55:00,2018-03-23 09:00:00,SELL,104.88607,104.79558,0.37811,signal
gotobi,USDJPY,2018-03-30 03:55:00,2018-03-30 09:00:00,SELL,106.24441,106.16092,0.40632,signal
gotobi,USDJPY,2018-04-05 03:55:00,2018-04-05 09:00:00,SELL,106.80546,106.89824,0.4093,signal
meanrev,USDCAD,2018-04-09 01:00:00,2018-04-11 17:00:00,BUY,1.27772,1.25485,0.02287,stop
gotobi,USDJPY,2018-04-10 03:55:00,2018-04-10 05:19:00,SELL,106.72075,107.1286,0.40785,stop
gotobi,USDJPY,2018-04-13 03:55:00,2018-04-13 09:00:00,SELL,107.35355,107.47005,0.40395,signal
meanrev,AUDUSD,2018-04-18 01:00:00,2018-04-23 01:00:00,SELL,0.77701,0.76722,0.01172,signal
gotobi,USDJPY,2018-04-20 03:55:00,2018-04-20 09:00:00,SELL,107.45849,107.63771,0.33364,signal
gotobi,USDJPY,2018-04-25 03:55:00,2018-04-25 09:00:00,SELL,108.88751,109.06679,0.32055,signal
gotobi,USDJPY,2018-04-27 03:55:00,2018-04-27 09:00:00,SELL,109.29122,109.25476,0.30743,signal
gotobi,USDJPY,2018-05-02 03:55:00,2018-05-02 09:00:00,SELL,109.87822,109.81912,0.2954,signal
gotobi,USDJPY,2018-05-10 03:55:00,2018-05-10 09:00:00,SELL,109.91786,109.83036,0.33717,signal
gotobi,USDJPY,2018-05-15 03:55:00,2018-05-15 09:00:00,SELL,109.70309,109.87559,0.31204,signal
gotobi,USDJPY,2018-05-18 03:55:00,2018-05-18 09:00:00,SELL,110.89883,110.84715,0.3218,signal
gotobi,USDJPY,2018-05-25 03:55:00,2018-05-25 09:00:00,SELL,109.53088,109.56152,0.35253,signal
gotobi,USDJPY,2018-05-31 03:55:00,2018-05-31 09:00:00,SELL,108.64745,108.78647,0.38046,signal
gotobi,USDJPY,2018-06-05 03:55:00,2018-06-05 09:00:00,SELL,109.88908,109.86434,0.39985,signal
meanrev,AUDUSD,2018-06-08 01:00:00,2018-06-13 01:00:00,SELL,0.7625,0.75748,0.01547,signal
gotobi,USDJPY,2018-06-08 03:55:00,2018-06-08 09:00:00,SELL,109.81731,109.65873,0.41093,signal
gotobi,USDJPY,2018-06-15 03:55:00,2018-06-15 09:00:00,SELL,110.65836,110.87633,0.39181,signal
gotobi,USDJPY,2018-06-20 03:55:00,2018-06-20 09:00:00,SELL,110.03645,110.21914,0.36359,signal
gotobi,USDJPY,2018-06-25 03:55:00,2018-06-25 09:00:00,SELL,109.66208,109.43652,0.35826,signal
gotobi,USDJPY,2018-06-29 03:55:00,2018-06-29 05:36:00,SELL,110.46019,110.83419,0.374,stop
meanrev,USDJPY,2018-07-04 01:00:00,2018-07-12 12:00:00,SELL,110.59787,112.45204,1.85417,stop
gotobi,USDJPY,2018-07-05 03:55:00,2018-07-05 09:00:00,SELL,110.42478,110.66756,0.34695,signal
gotobi,USDJPY,2018-07-10 03:55:00,2018-07-10 09:00:00,SELL,111.01001,111.16383,0.32344,signal
gotobi,USDJPY,2018-07-13 03:55:00,2018-07-13 09:00:00,SELL,112.70502,112.57974,0.34545,signal
gotobi,USDJPY,2018-07-20 03:55:00,2018-07-20 09:00:00,SELL,112.56907,112.32083,0.32542,signal
gotobi,USDJPY,2018-07-25 03:55:00,2018-07-25 09:00:00,SELL,111.27304,111.21246,0.36288,signal
meanrev,USDCAD,2018-07-27 01:00:00,2018-08-10 01:00:00,BUY,1.30758,1.30443,0.02291,time
gotobi,USDJPY,2018-07-31 03:55:00,2018-07-31 07:05:00,SELL,110.96636,111.33256,0.3662,stop
gotobi,USDJPY,2018-08-03 03:55:00,2018-08-03 09:00:00,SELL,111.76557,111.67554,0.35516,signal
gotobi,USDJPY,2018-08-10 03:55:00,2018-08-10 09:00:00,SELL,110.88702,110.98152,0.31098,signal
gotobi,USDJPY,2018-08-15 03:55:00,2018-08-15 09:00:00,SELL,111.35977,111.2852,0.31901,signal
gotobi,USDJPY,2018-08-20 03:55:00,2018-08-20 09:00:00,SELL,110.51877,110.59155,0.35964,signal
gotobi,USDJPY,2018-08-24 03:55:00,2018-08-24 09:00:00,SELL,111.44265,111.37691,0.36404,signal
meanrev,EURUSD,2018-08-31 01:00:00,2018-09-10 01:00:00,SELL,1.16665,1.15509,0.02027,signal
meanrev,USDCAD,2018-08-31 01:00:00,2018-09-03 01:00:00,BUY,1.29782,1.3064,0.02102,signal
gotobi,USDJPY,2018-08-31 03:55:00,2018-08-31 09:00:00,SELL,110.98158,110.98707,0.36979,signal
gotobi,USDJPY,2018-09-05 03:55:00,2018-09-05 09:00:00,SELL,111.48471,111.49639,0.32672,signal
meanrev,USDCAD,2018-09-07 01:00:00,2018-09-12 01:00:00,SELL,1.31454,1.30636,0.02095,signal
gotobi,USDJPY,2018-09-10 03:55:00,2018-09-10 09:00:00,SELL,110.93469,110.9852,0.33876,signal
gotobi,USDJPY,2018-09-14 03:55:00,2018-09-14 09:00:00,SELL,112.04509,111.88187,0.31613,signal
meanrev,USDJPY,2018-09-18 01:00:00,2018-09-27 19:00:00,SELL,111.84792,113.42117,1.57326,stop
gotobi,USDJPY,2018-09-20 03:55:00,2018-09-20 09:00:00,SELL,112.32982,112.15392,0.2967,signal
gotobi,USDJPY,2018-09-25 03:55:00,2018-09-25 09:00:00,SELL,112.96756,112.84771,0.29554,signal
meanrev,EURUSD,2018-09-27 01:00:00,2018-09-28 01:00:00,SELL,1.17433,1.16397,0.02089,signal
gotobi,USDJPY,2018-09-28 03:55:00,2018-09-28 09:00:00,SELL,113.44743,113.47853,0.27575,signal
meanrev,USDCAD,2018-10-04 01:00:00,2018-10-09 01:00:00,BUY,1.28696,1.29542,0.01899,signal
gotobi,USDJPY,2018-10-05 03:55:00,2018-10-05 09:00:00,SELL,114.09188,113.88418,0.2989,signal
meanrev,EURUSD,2018-10-08 01:00:00,2018-10-22 01:00:00,BUY,1.15237,1.15154,0.02074,time
gotobi,USDJPY,2018-10-10 03:55:00,2018-10-10 09:00:00,SELL,113.03449,112.98568,0.33055,signal
meanrev,USDCAD,2018-10-12 01:00:00,2018-10-17 01:00:00,SELL,1.30276,1.29348,0.02001,signal
gotobi,USDJPY,2018-10-15 03:55:00,2018-10-15 09:00:00,SELL,112.00367,111.92327,0.36497,signal
gotobi,USDJPY,2018-10-19 03:55:00,2018-10-19 09:00:00,SELL,112.31255,112.45409,0.37966,signal
meanrev,USDCAD,2018-10-23 01:00:00,2018-11-06 01:00:00,SELL,1.31024,1.31064,0.01994,time
gotobi,USDJPY,2018-10-25 03:55:00,2018-10-25 09:00:00,SELL,111.97362,111.94263,0.36923,signal
gotobi,USDJPY,2018-10-31 03:55:00,2018-10-31 09:00:00,SELL,113.24269,113.2772,0.37477,signal
gotobi,USDJPY,2018-11-05 02:55:00,2018-11-05 08:00:00,SELL,113.19563,113.25239,0.37034,signal
gotobi,USDJPY,2018-11-09 02:55:00,2018-11-09 08:00:00,SELL,113.99703,113.90886,0.35645,signal
